season,player_display_name,player_position,player_gsis_id,avg_cushion,avg_separation,avg_intended_air_yards,catch_percentage,avg_yac,avg_expected_yac,avg_yac_above_expectation,total_weeks
2016,Eli Rogers,WR,00-0031782,5.405161877394636,2.970002945497971,9.220687950937952,74.15584415584415,3.7005922619047618,6.081253832570496,-2.380661570665735,12
2017,Eli Rogers,WR,00-0031782,4.458583333333333,2.423380680964472,7.788571428571429,65.0,3.4349166666666657,3.272303490599987,0.16261317606667913,4
2018,Eli Rogers,WR,00-0031782,5.52875,2.860326597689833,5.157777777777778,77.77777777777779,4.5028571428571444,6.304284051082959,-1.8014269082258147,1
2016,Chris Harper,WR,00-0031854,3.3840000000000003,2.521795165174857,8.808000000000002,20.0,2.8900000000000006,5.72248268127,-2.8324826812699992,1
2017,Damiere Byrd,WR,00-0031868,6.874,2.2525540110421316,3.2419999999999987,100.0,4.158000000000001,5.352623148003374,-1.194623148003373,1
2019,Damiere Byrd,WR,00-0031868,5.525423941798942,3.2537080621193346,8.706102570738441,73.3203933747412,4.60781001984127,3.441064184177458,1.1667458356638116,6
2020,Damiere Byrd,WR,00-0031868,6.248432211481083,3.0573591682765753,11.975089414553702,59.853638425067,4.039659574468084,4.337758083292674,-0.2980985088245892,7
2021,Damiere Byrd,WR,00-0031868,6.971500000000001,3.28967052215571,9.086261904761905,72.38095238095238,2.301666666666666,3.206151578441855,-0.9044849117751891,4
2022,Damiere Byrd,WR,00-0031868,8.306666666666667,2.4820351491294272,28.16,50.0,12.709999999999999,2.6455157027161156,10.064484297283883,1
2016,Cameron Meredith,WR,00-0031912,5.7225213297099256,2.437268245912558,8.671640340313878,67.16602539626594,4.246781705948371,3.6427209060523373,0.6040607998960349,9
2018,Cameron Meredith,WR,00-0031912,5.7,3.6260647207649717,8.834000000000001,100.0,5.4220000000000015,5.509068470894329,-0.08706847089432745,1
2019,Devin Smith,WR,00-0031934,2.2,1.4625481468763872,25.492,40.0,6.91,0.5628527631474753,6.347147236852525,1
2016,Jamison Crowder,WR,00-0031941,6.683048807401749,3.5870502268093776,8.143581597695233,64.63589440862167,5.515873661993065,5.462723164910492,0.053150497082573155,11
2017,Jamison Crowder,WR,00-0031941,6.500992753623189,3.143286685249579,7.259435921452565,62.79120267157715,5.451550865800867,5.259807410284061,0.1917434555168037,14
2018,Jamison Crowder,WR,00-0031941,6.265485714285714,2.9508106123579245,10.400734693877551,45.765306122448976,13.417524137931034,5.936086263127729,7.481437874803307,5
2019,Jamison Crowder,WR,00-0031941,6.057597218293258,2.9525777817513554,8.619381340405015,62.93118283909026,4.459311477411478,3.670851435232582,0.7884600421788958,15
2020,Jamison Crowder,WR,00-0031941,6.196111752445085,3.282630170900907,7.59142849940322,67.57675463667972,5.883959375840732,4.512369218570624,1.371590157270107,9
2021,Jamison Crowder,WR,00-0031941,6.405887085137085,3.470687848793101,5.968758698656586,69.83095542954698,3.4272029539088367,3.347050127038776,0.08015282687006066,11
2023,Jamison Crowder,WR,00-0031941,7.345238095238096,3.8251822229364327,7.7402380952380945,83.33333333333333,4.278035714285714,4.069366051440239,0.20866966284547495,2
2024,Jamison Crowder,WR,00-0031941,6.72,2.30775202541298,8.048,60.0,1.8200000000000003,2.209286714599481,-0.3892867145994807,1
2018,Darius Jennings,WR,00-0031972,5.6175,2.2179780858057367,6.168000000000001,60.0,3.7333333333333343,4.2276448044121935,-0.4943114710788592,1
2016,Adam Humphries,WR,00-0032009,6.338198653198654,3.208130370902938,7.010481982876561,64.91772952616326,6.219194725028058,5.37301188630504,0.8461828387230184,9
2017,Adam Humphries,WR,00-0032009,7.210044973544973,3.1595654214174838,7.188024044228864,73.54358270020921,5.089155867811605,4.3001967026887336,0.7889591651228711,9
2018,Adam Humphries,WR,00-0032009,6.675613572622032,3.638923146923939,5.608304988662131,72.40362811791384,5.368319414607948,4.762883099335376,0.6054363152725724,14
2019,Adam Humphries,WR,00-0032009,5.820943152454781,2.7046783764994533,6.999120567375887,73.67612293144208,2.940247747747749,3.6742855843471443,-0.7340378365993955,6
2020,Adam Humphries,WR,00-0032009,6.292988095238095,2.982571005960066,8.382261904761904,81.54761904761904,2.2219166666666665,2.9537789146464637,-0.7318622479797972,4
2021,Adam Humphries,WR,00-0032009,6.306214606597356,3.1724732195893286,6.206948430985297,62.01503181917928,4.168159946905591,4.775217207217702,-0.6070572603121106,7
2016,Breshad Perriman,WR,00-0032054,5.8750078125,2.4405955910431065,15.832598484848484,44.6875,4.190104166666668,5.179702762486941,-0.9895985958202739,8
2017,Breshad Perriman,WR,00-0032054,7.381428571428571,1.5265329862849355,18.074285714285715,42.857142857142854,0.6766666666666694,1.1241927102945226,-0.4475260436278532,1
2018,Breshad Perriman,WR,00-0032054,7.113333333333333,1.486160042059734,19.39,33.33333333333333,9.61,9.012235112993949,0.5977648870060506,1
2019,Breshad Perriman,WR,00-0032054,5.557718005952381,2.5980688759674773,15.53402989130435,61.20923913043478,4.044798611111111,4.601609420534883,-0.5568108094237723,8
2020,Breshad Perriman,WR,00-0032054,5.587732142857143,2.5920995421172663,15.131952380952383,46.78571428571429,6.121833333333333,4.695012737293441,1.4268205960398923,8
2021,Breshad Perriman,WR,00-0032054,8.733333333333334,6.946747710114262,8.020000000000001,83.33333333333334,5.141999999999999,6.323886900121197,-1.1818869001211985,1
2022,Breshad Perriman,WR,00-0032054,2.675,2.1670000582252587,12.374,60.0,4.726666666666667,5.715027716901773,-0.9883610502351061,1
2016,Devin Funchess,WR,00-0032055,5.9775291005291,1.6947972073119997,17.395937876299946,30.2599890530925,4.8718115942028986,3.401422168031468,1.4703894261714308,6
2017,Devin Funchess,WR,00-0032055,6.68423885976409,2.6005272818358196,13.78894495209495,56.119762619762625,4.821097883597883,4.4131307289208035,0.40796715467708095,15
2018,Devin Funchess,WR,00-0032055,4.819805612516139,2.172718995425687,12.449640815478476,58.98051491405922,2.0467311688311685,2.4765645455101364,-0.42983337667896765,10
2019,Devin Funchess,WR,00-0032055,2.664,1.4986246347988543,10.852,60.0,1.8066666666666673,1.5861078863334417,0.22055878033322562,1
2016,Daniel Brown,TE,00-0032098,8.7,4.0782432998563705,4.428333333333335,100.0,2.5716666666666654,3.4546113411583335,-0.882944674491668,1
2017,Daniel Brown,TE,00-0032098,5.2625,4.168862447247511,9.574000000000002,40.0,8.464999999999996,9.229551762337906,-0.7645517623379092,1
2016,J.J. Nelson,WR,00-0032112,5.796672377734878,2.7110033289816595,19.047745415057914,41.3060138060138,6.780972426470589,4.225745709161083,2.555226717309506,8
2017,J.J. Nelson,WR,00-0032112,7.081730158730159,2.3954263967230838,16.04778929221962,55.6615925058548,3.4704454022988513,3.993751932435986,-0.5233065301371352,6
2018,J.J. Nelson,WR,00-0032112,8.632857142857144,3.7733595311658408,18.715714285714284,42.857142857142854,0.646666666666666,1.0119765365279818,-0.36530986986131586,1
2019,J.J. Nelson,WR,00-0032112,7.765000000000001,4.169369409543872,5.019999999999999,80.0,3.360000000000001,3.9040680097878244,-0.5440680097878232,1
2016,Neal Sterling,TE,00-0032120,4.55125,4.662111209621189,7.187833333333335,71.66666666666667,4.5363333333333316,6.1242041548126664,-1.5878708214793344,2
2017,Neal Sterling,WR,00-0032120,7.439999999999999,2.9657232016827373,8.24875,62.5,8.318000000000001,4.3552223871295555,3.962777612870446,1
2017,Tre McBride,WR,00-0032123,9.08125,3.1099187846410428,14.279166666666669,46.666666666666664,8.757499999999999,7.431387721362958,1.3261122786370407,2
2016,Chris Conley,WR,00-0032128,6.700280312124851,2.7522367560699137,10.646879547471162,65.23217982845311,3.343084415584415,4.14596355477517,-0.802879139190754,7
2018,Chris Conley,WR,00-0032128,6.9776686507936505,3.4477277954637633,9.989414377289377,59.76037851037851,4.2007490079365075,3.7376452697784504,0.4631037381580585,6
2019,Chris Conley,WR,00-0032128,5.042448743386243,2.4732509197505004,13.356365740740742,57.16269841269841,5.472624113475177,4.19248077279945,1.2801433406757274,12
2020,Chris Conley,WR,00-0032128,6.014178069695311,2.832733857918225,10.089229497354497,62.23544973544973,4.345680555555555,3.0357388578516,1.309941697703956,6
2021,Chris Conley,WR,00-0032128,8.05,3.0114961087025636,9.448000000000002,80.0,0.009999999999998899,2.850633937804173,-2.8406339378041743,1
2023,Chris Conley,WR,00-0032128,6.641666666666667,3.032889685640644,12.983333333333334,50.0,9.433333333333332,7.172738699963172,2.26059463337016,1
2016,Tyrell Williams,WR,00-0032160,5.61668069695311,2.6127192247257467,12.71868392609569,56.6709815239227,8.275692063492066,8.716634668379697,-0.4409426048876321,15
2017,Tyrell Williams,WR,00-0032160,6.368989955357143,2.992709372678155,14.622790890269151,53.5636645962733,7.473701550387597,7.005803269445495,0.4678982809421021,8
2018,Tyrell Williams,WR,00-0032160,5.310286631954836,2.606191875097166,12.962205913134486,54.92935635792778,3.5152369337979095,3.5450487641026305,-0.02981183030472012,7
2019,Tyrell Williams,WR,00-0032160,4.2780823363828295,2.3638362882445776,14.901406675170069,58.422619047619044,3.7864489795918357,3.7829623271121737,0.0034866524796622255,7
2016,Sammie Coates,WR,00-0032166,6.245022804576376,2.449058520355983,23.689689935064933,42.06709956709957,7.1359523809523795,8.114261313849362,-0.9783089328969823,6
2016,Ty Montgomery,WR,00-0032200,7.26125,4.481832723749075,1.551538461538462,80.12820512820514,6.2705,6.970113956930501,-0.6996139569305013,2
2021,Ty Montgomery,WR,00-0032200,,4.607284271007826,-1.8400000000000016,64.28571428571428,6.388000000000001,6.7495078429567,-0.3615078429566996,2
2016,Phillip Dorsett,WR,00-0032208,7.401958434221146,2.537965742793094,13.393643866020986,52.87126715092817,1.543997835497836,2.80255891712977,-1.258561081631933,7
2017,Phillip Dorsett,WR,00-0032208,9.0625,2.3511806687594565,19.24,60.0,1.9400000000000002,2.0686908527785968,-0.1286908527785966,1
2018,Phillip Dorsett,WR,00-0032208,6.6035595238095235,3.060996428543728,13.115809523809522,68.09523809523809,3.502457142857144,3.8745609059303603,-0.3721037630732164,6
2019,Phillip Dorsett,WR,00-0032208,5.537561965811965,2.983896610696523,13.247149029982362,50.82892416225749,2.1368582375478917,4.143016476905001,-2.00615823935711,6
