season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2018,REG,4,Nick Boyle,TE,BAL,6.2524999999999995,3.8550131646056895,4.0059999999999985,5.5575594461862865,3,5,60.0,36.0,0,10.410000000000002,9.648689830077274,0.7613101699227283,00-0031598,Nicholas,Boyle,86,N.Boyle
2018,REG,4,David Njoku,TE,CLE,6.116666666666667,5.144693489069909,6.428571428571426,11.402508551881413,5,7,71.42857142857143,52.0,0,6.150000000000003,4.567173838154668,1.5828261618453352,00-0033885,David,Njoku,85,D.Njoku
2018,REG,4,Rhett Ellison,TE,NYG,5.886666666666667,3.864216821068305,7.244000000000002,14.555537694904357,3,5,60.0,29.0,0,3.4666666666666637,3.2267040921069565,0.23996257455970715,00-0029587,Rhett,Ellison,85,R.Ellison
2018,REG,4,Travis Kelce,TE,KC,5.7387500000000005,2.2622434262112523,5.8675,20.104505739249614,7,12,58.333333333333336,78.0,1,6.130000000000002,4.426196701011057,1.7038032989889444,00-0030506,Travis,Kelce,87,T.Kelce
2018,REG,4,Rob Gronkowski,TE,NE,4.852500000000001,2.3598404886023245,12.104285714285714,32.78517257390497,4,7,57.14285714285714,44.0,0,2.42,1.603579897355985,0.816420102644015,00-0027656,Robert,Gronkowski,87,R.Gronkowski
2018,REG,4,Jimmy Graham,TE,GB,4.743333333333333,2.7164609306928287,6.715000000000001,10.114982928298856,3,6,50.0,21.0,1,3.3966666666666647,3.3095283682741865,0.08713829839247822,00-0027696,Jimmy,Graham,80,J.Graham
2018,REG,4,Zach Ertz,TE,PHI,4.676,3.8313413640997154,6.912857142857141,24.724727282017213,10,14,71.42857142857143,112.0,0,3.7030000000000016,4.07100717224763,-0.3680071722476286,00-0030061,Zachary,Ertz,86,Z.Ertz
2018,REG,4,George Kittle,TE,SF,4.031666666666666,4.0490102179153595,8.026250000000001,28.39517091938266,6,8,75.0,125.0,1,14.6,8.916245512433571,5.6837544875664285,00-0033288,George,Kittle,85,G.Kittle
2018,REG,4,Geoff Swaim,TE,DAL,3.768,3.9297574333590743,9.328,16.63278770371955,3,5,60.0,39.0,1,10.40333333333333,6.3204326556448605,4.08290067768847,00-0032141,Geoffrey,Swaim,87,G.Swaim
2018,REG,4,Jared Cook,TE,LV,3.376666666666667,3.0505615265157653,7.093846153846156,21.3028413028413,8,13,61.53846153846154,110.0,2,4.866249999999997,4.468879697385866,0.39737030261413153,00-0027061,Jared,Cook,87,J.Cook
2018,REG,4,Kyle Rudolph,TE,MIN,2.9699999999999998,3.6932741673020604,5.23,9.311020117500446,5,6,83.33333333333334,57.0,0,6.082000000000001,5.898885163614682,0.183114836385319,00-0027981,Kyle,Rudolph,82,K.Rudolph
2018,REG,5,George Kittle,TE,SF,8.974,3.516892081148011,3.412857142857144,9.016115031890406,5,7,71.42857142857143,83.0,0,13.589999999999998,5.620919272198807,7.969080727801191,00-0033288,George,Kittle,85,G.Kittle
2018,REG,5,Niles Paul,TE,JAX,8.1175,4.212827573993433,6.34111111111111,9.210186559938025,7,9,77.77777777777779,65.0,0,3.7485714285714287,3.1296056821321576,0.618965746439271,00-0028093,Niles,Paul,81,N.Paul
2018,REG,5,Rob Gronkowski,TE,NE,7.894,4.416327396443051,9.414285714285715,24.7131178279457,6,7,85.71428571428571,75.0,0,3.8683333333333336,5.080255830141596,-1.211922496808262,00-0027656,Robert,Gronkowski,87,R.Gronkowski
2018,REG,5,Travis Kelce,TE,KC,7.8775,2.4210030800110287,11.708750000000002,27.912867274569404,5,8,62.5,100.0,0,11.039999999999997,5.493624090748244,5.546375909251753,00-0030506,Travis,Kelce,87,T.Kelce
2018,REG,5,Kyle Rudolph,TE,MIN,6.57,5.535875390761732,2.6179999999999994,6.395973810221829,5,5,100.0,41.0,0,5.582000000000001,4.351602044018091,1.2303979559819096,00-0027981,Kyle,Rudolph,82,K.Rudolph
2018,REG,5,Jared Cook,TE,LV,6.398000000000001,3.175243339880162,6.6433333333333335,17.067009205737527,4,6,66.66666666666666,20.0,0,0.28249999999999975,1.8794399218299453,-1.5969399218299456,00-0027061,Jared,Cook,87,J.Cook
2018,REG,5,Zach Ertz,TE,PHI,6.327142857142858,4.773263846668858,6.456363636363636,23.394933623217046,10,11,90.9090909090909,110.0,1,5.741,6.3755815205393676,-0.6345815205393679,00-0030061,Zachary,Ertz,86,Z.Ertz
2018,REG,5,Mike Gesicki,TE,MIA,6.244999999999999,1.5333087625549733,11.319999999999999,28.15220094503854,3,5,60.0,26.0,0,2.6166666666666694,2.339317680491073,0.2773489861755962,00-0034829,Michael,Gesicki,86,M.Gesicki
2018,REG,5,Ryan Griffin,TE,HOU,5.86625,2.262841119704545,7.564444444444446,23.575039822702408,6,9,66.66666666666666,65.0,0,3.029999999999999,3.2329571131443373,-0.2029571131443384,00-0030108,Ryan,Griffin,84,R.Griffin
2018,REG,5,Ricky Seals-Jones,TE,ARI,5.4975,1.8520439110388878,19.406,35.85205438959503,0,5,0.0,,0,,,,00-0033611,Roderick,Seals-Jones,86,R.Seals-Jones
2018,REG,5,Austin Hooper,TE,ATL,4.972222222222222,4.195763154620363,6.9333333333333345,24.827668526752415,9,12,75.0,77.0,0,4.076666666666665,4.233135670713788,-0.15646900404712305,00-0032392,Austin,Hooper,81,A.Hooper
2018,REG,5,Jimmy Graham,TE,GB,4.710999999999999,2.333360356878988,9.773000000000001,20.009827808603433,6,10,60.0,76.0,0,3.4099999999999984,2.4884004199240386,0.9215995800759598,00-0027696,Jimmy,Graham,80,J.Graham
2018,REG,5,Eric Ebron,TE,IND,4.536428571428572,4.108676908369175,10.301333333333332,31.89662290479729,9,15,60.0,105.0,2,3.914444444444444,3.7259183754535647,0.1885260689908792,00-0031387,Eric,Ebron,85,E.Ebron
