season,player_display_name,player_position,player_gsis_id,avg_intended_air_yards,avg_time_to_throw,avg_completed_air_yards,total_weeks
2016,Russell Wilson,QB,00-0029263,9.507343924347357,2.624225804674616,7.386319477779855,19
2017,Russell Wilson,QB,00-0029263,9.75416647075961,3.056035300353098,6.839971781806156,17
2018,Russell Wilson,QB,00-0029263,9.298855067988873,3.0495515709626426,7.474346700731733,18
2019,Russell Wilson,QB,00-0029263,9.712512284246426,2.9206441210550427,7.163392456995973,19
2020,Russell Wilson,QB,00-0029263,8.893015875695971,2.9736689536457686,6.4369857190227755,18
2021,Russell Wilson,QB,00-0029263,9.901243440284002,2.78009615295842,6.826288337694987,15
2022,Russell Wilson,QB,00-0029263,9.019551775811827,2.979063323922353,6.563969619155686,16
2023,Russell Wilson,QB,00-0029263,7.4188629986934185,3.0442624093228363,4.668370932182753,16
2024,Russell Wilson,QB,00-0029263,7.862973135106703,2.842250139069144,6.103049493857954,13
2016,Nick Foles,QB,00-0029567,8.8275,2.3521363636363635,5.7026875,2
2017,Nick Foles,QB,00-0029567,7.9317036089165835,2.7759827728941806,5.122290026906732,5
2018,Nick Foles,QB,00-0029567,7.0544474731350455,2.637041744108174,4.931152151211362,8
2019,Nick Foles,QB,00-0029567,8.001768115942028,2.611470744680851,4.408096590909091,2
2020,Nick Foles,QB,00-0029567,7.870907010600877,2.531215358325356,5.253665225396697,9
2021,Nick Foles,QB,00-0029567,6.026,2.9067142857142856,3.125416666666665,1
2022,Nick Foles,QB,00-0029567,8.108928571428573,2.692827586206897,5.1388235294117655,1
2016,Kirk Cousins,QB,00-0029604,9.514050443605484,2.8075948970874003,7.85064081574155,17
2017,Kirk Cousins,QB,00-0029604,7.866145464435906,2.700891198473872,5.743415224724279,17
2018,Kirk Cousins,QB,00-0029604,7.488921313670335,2.7442081758975543,5.664096529572046,17
2019,Kirk Cousins,QB,00-0029604,7.8918532005227595,2.9737365019930326,5.9634375912887885,17
2020,Kirk Cousins,QB,00-0029604,8.842461162825597,2.925660884008135,7.2441506697294695,16
2021,Kirk Cousins,QB,00-0029604,8.207538004540481,2.7792451330786805,6.804776355054117,17
2022,Kirk Cousins,QB,00-0029604,7.605905301940414,2.8412045412452622,6.041902223047746,19
2023,Kirk Cousins,QB,00-0029604,7.288785021558976,2.863502879955919,6.2384742019520925,9
2024,Kirk Cousins,QB,00-0029604,7.624169355897689,2.696520976335339,5.772275697165171,15
2016,Robert Griffin III,QB,00-0029665,9.61297419762777,2.8609826129426126,5.538490815866577,6
2019,Robert Griffin III,QB,00-0029665,7.0695,2.534238095238096,3.751818181818182,1
2016,Andrew Luck,QB,00-0029668,8.849566342221873,2.8749746495459476,7.587042908857394,16
2018,Andrew Luck,QB,00-0029668,7.753325553046733,2.6605103708842535,6.337608549822331,19
2016,Brock Osweiler,QB,00-0029682,9.478142905686747,2.610271228320188,6.375178757874754,17
2017,Brock Osweiler,QB,00-0029682,8.175911200654236,2.753329818922699,6.270652064360231,6
2018,Brock Osweiler,QB,00-0029682,7.8584282339246,2.7924013766840705,4.960883769814896,6
2016,Ryan Tannehill,QB,00-0029701,7.960830460702302,2.598154076259327,5.90258001223478,14
2018,Ryan Tannehill,QB,00-0029701,8.013715026494124,2.6485855147317237,4.906479954481791,12
2019,Ryan Tannehill,QB,00-0029701,9.651224983448781,2.9495668609552057,7.229510109503933,14
2020,Ryan Tannehill,QB,00-0029701,8.375012062696783,2.6971151949819347,7.168864240576896,18
2021,Ryan Tannehill,QB,00-0029701,7.563622528016862,2.702924787752012,5.61207353047962,19
2022,Ryan Tannehill,QB,00-0029701,7.7833283283801515,2.7517233116543283,6.174776097185761,13
2023,Ryan Tannehill,QB,00-0029701,7.807414782964782,2.6667961982019532,4.949085478618321,10
2017,Mike Glennon,QB,00-0030520,6.134709451659452,2.606462308802309,4.817853952499115,5
2020,Mike Glennon,QB,00-0030520,8.352780299711462,2.568564280206507,5.68204766029766,6
2021,Mike Glennon,QB,00-0030520,7.760482183555069,2.7044731049167634,4.077990194256819,6
2016,Landry Jones,QB,00-0030524,9.451512363427257,2.731944220816561,5.9900359195402295,2
2017,Landry Jones,QB,00-0030524,7.615925925925926,2.429185185185185,6.568260869565217,1
2016,EJ Manuel,QB,00-0030526,10.7075,2.92485,6.673333333333332,1
2017,EJ Manuel,QB,00-0030526,9.719276018099546,2.2776990950226246,7.170454545454545,2
2016,Matt Barkley,QB,00-0030533,10.882412160083671,2.711408201058201,9.116923102644863,7
2018,Matt Barkley,QB,00-0030533,12.93,2.70164,9.912,1
2019,Matt Barkley,QB,00-0030533,8.312757352941176,2.573876838235294,7.071944444444444,2
2017,Geno Smith,QB,00-0030565,5.5255882352941175,2.779176470588235,4.9352380952380965,1
2021,Geno Smith,QB,00-0030565,8.056922943355456,2.995322781898683,5.205086956521739,4
2022,Geno Smith,QB,00-0030565,8.110134675438504,2.81728528783922,6.504203601630654,19
2023,Geno Smith,QB,00-0030565,7.73102033856296,2.830473396197193,5.9580334182499755,16
2024,Geno Smith,QB,00-0030565,7.05333983514556,2.838132097136654,5.2257521833026255,18
2016,Tom Savage,QB,00-0031064,9.207385057471265,2.779993295019157,7.122041062801932,2
2017,Tom Savage,QB,00-0031064,9.540333245176997,2.7008428215146965,7.143879341919477,6
2017,David Fales,QB,00-0031076,6.20690476190476,2.7461666666666678,3.6806896551724133,1
2018,Teddy Bridgewater,QB,00-0031237,6.759545454545455,3.2304999999999997,4.969999999999999,1
2019,Teddy Bridgewater,QB,00-0031237,6.1604549893189615,2.802153577721815,4.554671495336385,7
2020,Teddy Bridgewater,QB,00-0031237,7.442007859517901,2.599306592739283,5.482671780588023,16
2021,Teddy Bridgewater,QB,00-0031237,7.878849330843449,2.877048511740621,5.366076034991367,15
