carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,targets,receiving_yards,receiving_yards_after_catch,receiving_first_downs,target_share,wopr_x,fantasy_points_ppr,tgt_sh,yac_sh,wopr_y,ry_sh,yptmpa,ppr_sh,player_id,player_name,season,team
0,0.0,0,0.0,1,2,5.0,1.0,0.0,0.05,0.0908576051779935,1.5,0.0465116279069767,0.0066225165562913,0.0873223007946343,0.014367816091954,0.1162790697674418,0.0121241513094083,00-0035726,Jakob Johnson,2019,NE
0,0.0,0,0.0,8,9,35.0,20.0,3.0,0.3685142809766613,0.6410662517657729,17.5,0.0452261306532663,0.0303490136570561,0.0761093544912709,0.0237127371273712,0.1758793969849246,0.0311865131696189,00-0035726,Jakob Johnson,2020,NE
0,0.0,0,0.0,4,5,43.0,34.0,2.0,0.1410815939278937,0.232648024011257,8.3,0.0462962962962962,0.0887728459530026,0.0775416104363472,0.055627425614489,0.3981481481481481,0.0288074413438844,00-0035726,Jakob Johnson,2021,NE
0,0.0,0,0.0,5,6,10.0,7.0,0.0,0.2024566140665211,0.3210676529492987,6.0,0.0306122448979591,0.0115702479338842,0.049020860421731,0.0066934404283801,0.0510204081632653,0.0114359775854839,00-0035726,Jakob Johnson,2022,LV
0,0.0,0,0.0,1,2,12.0,10.0,0.0,0.0526315789473684,0.0956140350877192,2.2,0.0512820512820512,0.0746268656716417,0.0957466063348416,0.0504201680672268,0.3076923076923077,0.0310208685843203,00-0035726,Jakob Johnson,2023,LV
2,12.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0106780565936999,00-0035760,Jacques Patrick,2021,BAL
39,148.0,1,7.0,7,8,33.0,47.0,0.0,0.2349270092652445,0.2785773558641499,31.1,0.0382775119617224,0.0479591836734693,0.0463051568314726,0.0188787185354691,0.1578947368421052,0.0545116735609619,00-0035806,Jamycal Hasty,2020,SF
16,68.0,1,6.0,23,29,157.0,128.0,7.0,0.9546956207282292,1.61968121625302,51.5,0.0944625407166123,0.0893854748603352,0.1648534471377804,0.0564951421374595,0.511400651465798,0.0562927661062894,00-0035806,Jamycal Hasty,2021,SF
46,194.0,2,7.0,20,26,126.0,134.0,7.0,0.8501881159166765,1.1212368660072447,70.0,0.0530612244897959,0.0774566473988439,0.0718557730259339,0.0364900086880973,0.2571428571428571,0.0558382923054833,00-0035806,Jamycal Hasty,2022,JAX
0,0.0,0,0.0,0,2,0.0,0.0,0.0,0.0666666666666666,0.1938547486033519,0.0,0.0666666666666666,0.0,0.2072625698324022,0.0,0.0,0.0,00-0035806,Jamycal Hasty,2023,NE
240,1070.0,7,54.0,49,60,344.0,383.0,15.0,1.676077217365337,2.383715308807248,250.4,0.1117318435754189,0.248378728923476,0.158532085437134,0.0987654320987654,0.6405959031657356,0.2073499942034745,00-0035831,James Robinson,2020,JAX
164,767.0,8,41.0,31,46,222.0,230.0,9.0,1.333024678573459,2.1323667662091834,173.9,0.0889748549323017,0.1648745519713261,0.1411159537689381,0.0714515609913099,0.4294003868471953,0.1690844741754822,00-0035831,James Robinson,2021,JAX
110,425.0,3,22.0,11,14,51.0,63.0,5.0,0.4251556169368826,0.593637463001037,88.6,0.0356234096692111,0.0461538461538461,0.0536878791167709,0.0191585274229902,0.1297709923664122,0.0988530369973668,00-0035831,James Robinson,2022,NYJ
1,2.0,0,0.0,1,1,-2.0,1.0,0.0,0.0285714285714285,0.034991974317817,1.0,0.0277777777777777,0.0089285714285714,0.0328431372549019,-0.0074906367041198,-0.0555555555555555,0.009498480243161,00-0035831,James Robinson,2023,NO
1,3.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0036407766990291,00-0035835,Nathan Cottrell,2021,JAX
3,13.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0127776685669353,00-0035860,Tony Jones,2020,NO
54,142.0,0,7.0,5,8,29.0,28.0,2.0,0.3564819238732282,0.5207243473563343,22.1,0.0316205533596837,0.0332936979785969,0.0479011416209483,0.0169392523364485,0.1146245059288537,0.0311057313365612,00-0035860,Tony Jones,2021,NO
10,24.0,0,3.0,5,8,30.0,34.0,0.0,0.2136636636636636,0.2704372244257033,10.4,0.0695652173913043,0.1322957198443579,0.0895827254158155,0.0346020761245674,0.2608695652173913,0.0383792161783157,00-0035860,Tony Jones,2022,SEA
26,95.0,2,7.0,7,10,37.0,44.0,1.0,0.3609533468559838,0.3429138697678251,32.2,0.053763440860215,0.086105675146771,0.0716226048993451,0.0292259083728278,0.1989247311827957,0.0797345483359746,00-0035860,Tony Jones,2023,ARI
0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0227272727272727,0.0365299334811529,0.0,0.0227272727272727,0.0,0.0368783655369021,0.0,0.0,0.0,00-0035898,Darius Bradwell,2021,LAC
2,7.0,0,1.0,5,7,25.0,23.0,2.0,0.2078426248548199,0.3304910581376333,20.2,0.0238095238095238,0.0195412064570943,0.0378495170310116,0.0109122653862941,0.0850340136054421,0.0234572775623011,00-0035908,Gabe Nabers,2020,LAC
3,8.0,0,1.0,3,3,17.0,12.0,0.0,0.0827838827838827,0.1379553517348793,5.5,0.0154639175257731,0.020033388981636,0.0260965289355053,0.0132192846034214,0.0876288659793814,0.0115077206343892,00-0035908,Gabe Nabers,2021,LAC
4,11.0,0,0.0,1,1,5.0,5.0,0.0,0.0232558139534883,0.0348837209302325,2.6,0.0113636363636363,0.01628664495114,0.0170454545454545,0.0082918739635157,0.0568181818181818,0.0136182694322229,00-0035912,LeVante Bellamy,2020,DEN
0,0.0,0,0.0,1,1,11.0,15.0,1.0,0.037037037037037,0.0424100156494522,8.1,0.037037037037037,0.1041666666666666,0.0405320813771517,0.0572916666666666,0.4074074074074074,0.1380368098159509,00-0035924,Jonathan Ward,2020,ARI
9,33.0,0,3.0,3,4,34.0,26.0,1.0,0.0943347193347193,0.1673538362019175,9.7,0.0174672489082969,0.0357142857142857,0.0321985665573704,0.0216010165184243,0.148471615720524,0.0165936772957438,00-0035924,Jonathan Ward,2021,ARI
5,25.0,0,2.0,2,3,7.0,4.0,1.0,0.1003898635477582,0.1608384185100432,5.2,0.0441176470588235,0.0187793427230046,0.0721244259785698,0.0170316301703163,0.1029411764705882,0.0388233537404808,00-0035924,Jonathan Ward,2022,TEN
3,11.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.023374415639609,00-0035924,Jonathan Ward,2023,TEN
0,0.0,0,0.0,0,2,0.0,0.0,0.0,0.0510335917312661,0.1297609891500422,0.0,0.0240963855421686,0.0,0.0631240504540154,0.0,0.0,0.0,00-0035956,Giovanni Ricci,2021,CAR
0,0.0,0,0.0,8,9,100.0,52.0,3.0,0.3234617682198327,0.6324849729308932,18.0,0.0502793296089385,0.0836012861736334,0.1086265415832191,0.0831255195344971,0.5586592178770949,0.0426621160409556,00-0035956,Giovanni Ricci,2022,CAR
0,0.0,0,0.0,1,1,2.0,3.0,0.0,0.032258064516129,0.045316921335597,1.2,0.0263157894736842,0.0326086956521739,0.0366267091215583,0.0136986301369863,0.0526315789473684,0.0200534759358288,00-0035956,Giovanni Ricci,2023,CAR
41,156.0,1,14.0,9,11,59.0,46.0,1.0,0.3350997450262156,0.5463973654252545,36.5,0.0460251046025104,0.0609271523178807,0.0754536970040163,0.035077288941736,0.2468619246861924,0.067846388341574,00-0035957,Rodney Smith,2020,CAR
0,0.0,0,0.0,5,5,48.0,32.0,2.0,0.1282051282051282,0.2254437869822484,9.8,0.1282051282051282,0.1560975609756097,0.2301775147928993,0.1594684385382059,1.2307692307692308,0.0912137006701414,00-0035957,Rodney Smith,2021,DET
