receptions,targets,receiving_yards,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,target_share,air_yards_share,wopr_x,fantasy_points_ppr,tgt_sh,ay_sh,wopr_y,ry_sh,rfd_sh,rtdfd_sh,w8dom,yptmpa,ppr_sh,player_id,player_name,season
0,2,0.0,27.0,0.0,0.0,0.0454545454545454,0.0647482014388489,0.1135055591890124,0.0,0.0454545454545454,0.0647482014388489,0.1199803793328973,0.0,0.0,0.0,0.0,0.0,0.0,00-0036250,Tyler Davis,2020
4,5,35.0,38.0,13.0,1.0,0.1370199692780337,0.1533837646508055,0.3128985891726145,7.5,0.0344827586206896,0.0383064516129032,0.082369299221357,0.0307287093942054,0.0161290322580645,0.0142857142857142,0.0245829675153643,0.2413793103448276,0.0178460952743539,00-0036250,Tyler Davis,2021
4,7,26.0,27.0,27.0,1.0,0.2186770092652445,0.1088745822209588,0.404227721452538,6.6,0.0429447852760736,0.0266798418972332,0.085761051431897,0.0212418300653594,0.0163934426229508,0.0142857142857142,0.0169934640522875,0.1595092024539877,0.0150870936771361,00-0036250,Tyler Davis,2022
28,44,243.0,288.0,136.0,12.0,1.2727781971175358,1.0933507047474116,2.6745127889994915,62.0,0.0938166311300639,0.0781546811397557,0.2032486916069005,0.0801715605410755,0.0693641618497109,0.0729166666666666,0.0851898800118078,0.5181236673773987,0.0558588752545182,00-0036290,Cole Kmet,2020
60,93,612.0,721.0,246.0,29.0,3.0288028318389384,2.8817771419150304,6.560448247098929,121.2,0.1715867158671586,0.1604004449388209,0.3857004297517947,0.168363136176066,0.1611111111111111,0.1479591836734693,0.1346905089408528,1.1291512915129152,0.0964430651706851,00-0036290,Cole Kmet,2021
50,69,544.0,463.0,286.0,27.0,3.2044916076256094,2.5126952750799227,6.56562410399436,147.29999999999998,0.1830238726790451,0.1351430239346176,0.3826502281662617,0.2093918398768283,0.2477064220183486,0.265625,0.2411976824277784,1.442970822281167,0.1287452365136523,00-0036290,Cole Kmet,2022
73,90,719.0,557.0,290.0,36.0,3.1796522228587447,2.7548258624219306,6.697856437983468,181.1,0.1991150442477876,0.1622015142690739,0.4284337777869406,0.240387830157138,0.2448979591836734,0.2560975609756097,0.2628984994198281,1.59070796460177,0.1658212317102202,00-0036290,Cole Kmet,2023
47,55,474.0,393.0,181.0,25.0,1.6462208580424864,1.5743818638721694,3.571398591774248,120.4,0.1162790697674418,0.1027988490714098,0.2566576839082907,0.1542466644972339,0.1724137931034483,0.1779141104294478,0.1678417760422316,1.0021141649048626,0.1061148225837725,00-0036290,Cole Kmet,2024
1,2,12.0,24.0,11.0,1.0,0.048780487804878,0.06266318537859,0.1170349614723301,2.2,0.0454545454545454,0.0613810741687979,0.1172866775168565,0.0329670329670329,0.0588235294117647,0.0476190476190476,0.0263736263736263,0.2727272727272727,0.0151975683890577,00-0036332,Josiah Deguara,2020
25,33,245.0,114.0,204.0,9.0,0.961613663060532,0.4013343923794277,1.7233545692563976,61.5,0.0783847980997624,0.0368455074337427,0.1470536030966379,0.0764669163545568,0.0545454545454545,0.0569948186528497,0.0754592473693597,0.5819477434679335,0.0505523771947129,00-0036332,Josiah Deguara,2021
13,15,114.0,49.0,63.0,4.0,0.4199956010414268,0.1539404714384183,0.7377517315690331,24.4,0.0458715596330275,0.0173451327433628,0.0826834456442315,0.0550990816819719,0.04,0.036036036036036,0.0440792653455775,0.3486238532110092,0.032439906402893,00-0036332,Josiah Deguara,2022
8,8,65.0,26.0,39.0,3.0,0.272129817444219,0.0932038208351032,0.4734374007509008,14.5,0.0683760683760683,0.026639344262295,0.1238755779739386,0.080545229244114,0.0833333333333333,0.073170731707317,0.0644361833952912,0.5555555555555556,0.0509701912260967,00-0036332,Josiah Deguara,2023
3,3,14.0,2.0,12.0,0.0,0.0807104660045836,0.0061340437413602,0.1253595296258276,4.4,0.0252100840336134,0.0025906735751295,0.0398876649105238,0.0171149144254278,0.0,0.0,0.0136919315403422,0.1176470588235294,0.0163861164903917,00-0036332,Josiah Deguara,2024
15,16,171.0,64.0,117.0,9.0,0.5299028773144656,0.3346144325579221,1.029084418762244,38.1,0.05,0.0325865580448065,0.1010692464358452,0.0677764565992865,0.0703125,0.0689655172413793,0.0659858711617822,0.534375,0.037097622246889,00-0036422,Adam Trautman,2020
27,43,263.0,245.0,111.0,13.0,1.4088644025057069,1.0255522015649965,2.831183144854058,63.3,0.1257309941520467,0.0885755603759942,0.2594569395288655,0.1111111111111111,0.1065573770491803,0.1020408163265306,0.1048888888888888,0.7690058479532164,0.0663466375985242,00-0036422,Adam Trautman,2021
