receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,target_share,air_yards_share,wopr_x,fantasy_points_ppr,wopr_y,ry_sh,rfd_sh,rtdfd_sh,w8dom,yptmpa,ppr_sh,tgt_sh,player_id,player_name,season
26,47,391.0,2,641.0,79.0,22.0,1.5211688590709993,2.7984693480195726,4.2406818322202,77.1,0.3641968474058649,0.146441947565543,0.1913043478260869,0.192,0.1571535580524344,1.0371352785145889,0.0914916340334638,0.1246684350132626,00-0031339,Donte Moncrief,2017
48,89,668.0,3,1166.0,236.0,28.0,2.579801672590728,5.011228647799112,7.377562562345469,130.8,0.4960356576924749,0.1946954240746138,0.1707317073170731,0.1731843575418994,0.195756339259691,1.2462686567164178,0.1164073902673454,0.166044776119403,00-0031339,Donte Moncrief,2018
4,15,18.0,0,202.0,3.0,1.0,0.4029964356029832,0.7104950402377548,1.1018411815709033,5.800000000000001,0.28825506551417,0.0212765957446808,0.025,0.0222222222222222,0.0170212765957446,0.1313868613138686,0.019337200773488,0.1094890510948905,00-0031339,Donte Moncrief,2019
1,2,15.0,0,5.0,14.0,1.0,0.0526315789473684,0.0209205020920502,0.0935917198854877,2.9,0.0585652138225396,0.0303030303030303,0.0434782608695652,0.0384615384615384,0.0242424242424242,0.2419354838709677,0.014917695473251,0.032258064516129,00-0031339,Donte Moncrief,2020
8,15,76.0,0,190.0,24.0,6.0,0.4690070085231375,0.6904839692245212,1.186849291241871,15.6,0.1636025515021872,0.0458107293550331,0.074074074074074,0.0666666666666666,0.0366485834840265,0.310204081632653,0.0284380924602595,0.0612244897959183,00-0031344,Cody Latimer,2016
19,31,287.0,2,324.0,64.0,15.0,0.9471209970474675,1.0855782697416267,2.18058628439034,61.7,0.2146464206352664,0.1291629162916291,0.131578947368421,0.1338582677165354,0.1340995638025341,0.8107344632768362,0.0808035831216113,0.0875706214689265,00-0031344,Cody Latimer,2017
11,16,190.0,1,318.0,23.0,6.0,0.4162748095994338,1.2338371869311324,1.4880982452509437,36.0,0.3230675296128953,0.1295160190865712,0.0895522388059701,0.0958904109589041,0.1369461486025903,1.0,0.0752225333277612,0.0842105263157894,00-0031344,Cody Latimer,2018
24,42,300.0,2,497.0,69.0,19.0,1.0773590551657013,1.6891175407761323,2.798420861291844,66.0,0.2202690711321024,0.0907441016333938,0.1210191082802547,0.1153846153846153,0.088595281306715,0.5882352941176471,0.0563409137471829,0.0823529411764705,00-0031344,Cody Latimer,2019
63,118,941.0,7,1428.0,238.0,50.0,3.431800712419201,4.059671293610579,7.989470974156206,197.1,0.5144222315042517,0.2375063099444725,0.2577319587628865,0.2651162790697674,0.2566717146222447,1.6714031971580816,0.1511410342923747,0.2095914742451154,00-0031359,Kelvin Benjamin,2016
47,77,671.0,3,882.0,139.0,29.0,2.621170504656714,3.4692938381733653,6.360261443706426,132.1,0.4393828261784343,0.2238905572238905,0.2056737588652482,0.2051282051282051,0.2191124457791124,1.5044843049327354,0.1308983531183733,0.1726457399103139,00-0031359,Kelvin Benjamin,2017
