,Round,,Pick #,,Next Pick,On Deck,,,,,,,,Top minus bottom,,,,,,,10.00
,1,,1,,Todd,Cooper,,,,League Site,ESPN,League Type:,Standard,ESPN Rank,,,,,,,SM
,,,,,,,,,,,,,,,,,,,,,
,,,,Click to Draft Player,,,,,,From ESPN,,From FantasyPros.com,,Avg Rank,Dynasty,SleeperPPR,,,,Custom,
Default Rank,Owner,Pick #,Drafted,Draft,Player,Pos,Team,Bye,Status,ESPN Rank,ESPN ADP,Avg Rank,Avg ADP,Diff,Rank,ADP,ESPN - Sleeper ADP,VBD,Prj Points,Rank,
154,,,No,FALSE,Marvin Mims Jr.,WR,DEN,12,,154,160.4,148,136.0,6,155,138.0,22.4,13,106.4,,
155,,,No,FALSE,Kyle Williams,WR,NE,14,,155,168.2,168,162.0,-13,129,143.8,24.4,0,67.2,,
156,,,No,FALSE,Rashod Bateman,WR,BAL,7,,156,166.9,136,166.5,20,145,163.3,3.6,11,102.0,,
157,,,No,FALSE,Luther Burden III,WR,CHI,5,,157,164.5,149,142.5,8,80,140.9,23.6,0,81.3,,
158,,,No,FALSE,Jalen McMillan,WR,TB,9,,158,169.5,165,165.0,-7,122,176.0,-6.5,0,74.9,,
159,,,No,FALSE,Tre Harris,WR,LAC,12,,159,164.7,155,135.5,4,95,133.7,31.0,0,80.5,,
160,,,No,FALSE,Roschon Johnson,RB,CHI,5,Q: Aug 17,160,170.0,161,181.0,-1,199,202.9,-32.9,5,79.3,,
161,,,No,FALSE,Jaydon Blue,RB,DAL,10,Q: Aug 16,161,167.3,146,125.5,15,169,135.0,32.3,6,79.6,,
162,,,No,FALSE,Will Shipley,RB,PHI,9,,162,170.1,226,219.0,-64,234,220.7,-50.6,0,35.5,,
163,,,No,FALSE,Michael Wilson,WR,ARI,8,,163,170.5,202,248.0,-39,209,252.0,-81.5,0,76.4,,
164,,,No,FALSE,Pat Bryant,WR,DEN,12,,164,170.3,243,224.0,-79,208,208.8,-38.5,0,53.0,,
165,,,No,FALSE,Chig Okonkwo,TE,TEN,10,,165,168.2,207,199.5,-42,197,215.8,-47.6,0,65.6,,
166,,,No,FALSE,Darren Waller,TE,MIA,12,Out: Aug 16,166,168.6,289,224.0,-123,384,229.5,-60.9,2,78.2,,
167,,,No,FALSE,Zach Ertz,TE,WSH,12,,167,161.0,160,159.5,7,201,149.9,11.1,6,84.4,,
168,,,No,FALSE,Jonnu Smith,TE,PIT,5,,168,163.7,142,111.0,26,141,89.3,74.4,1,74.7,,
169,,,No,FALSE,Texans D/ST,DST,HOU,6,,169,95.5,183,196.0,-14,312,183.3,-87.8,0,0.0,,
170,,,No,FALSE,Steelers D/ST,DST,PIT,5,,170,97.5,171,173.5,-1,282,131.7,-34.2,0,0.0,,
171,,,No,FALSE,Broncos D/ST,DST,DEN,12,,171,98.8,156,159.0,15,286,153.0,-54.2,0,0.0,,
172,,,No,FALSE,Vikings D/ST,DST,MIN,6,,172,119.4,176,185.5,-4,303,159.1,-39.8,0,0.0,,
173,,,No,FALSE,Seahawks D/ST,DST,SEA,8,,173,138.4,204,257.5,-31,361,185.1,-46.8,0,0.0,,
174,,,No,FALSE,Ravens D/ST,DST,BAL,7,,174,118.6,173,193.0,1,328,152.8,-34.2,0,0.0,,
175,,,No,FALSE,Patriots D/ST,DST,NE,14,,175,148.8,322,272.5,-147,311,233.7,-84.9,0,0.0,,
176,,,No,FALSE,Lions D/ST,DST,DET,8,,176,136.8,189,215.5,-13,381,179.6,-42.9,0,0.0,,
177,,,No,FALSE,Eagles D/ST,DST,PHI,9,,177,126.6,169,161.0,8,285,129.2,-2.6,0,0.0,,
178,,,No,FALSE,Bills D/ST,DST,BUF,7,,178,149.8,187,208.5,-9,313,179.6,-29.8,0,0.0,,
179,,,No,FALSE,Colts D/ST,DST,IND,11,,179,163.4,402,292.0,-223,NA,275.4,-112.0,0,0.0,,
180,,,No,FALSE,Jets D/ST,DST,NYJ,9,,180,165.2,216,274.0,-36,391,230.2,-65.0,0,0.0,,
181,,,No,FALSE,Jake Bates,K,DET,8,,181,106.6,191,213.0,-10,367,130.0,-23.4,0,0.0,,
182,,,No,FALSE,Chase McLaughlin,K,TB,9,,182,116.9,209,242.5,-27,370,155.6,-38.7,0,0.0,,
183,,,No,FALSE,Cameron Dicker,K,LAC,12,,183,122.0,193,201.5,-10,326,131.2,-9.2,0,0.0,,
184,,,No,FALSE,Brandon Aubrey,K,DAL,10,,184,108.9,186,189.0,-2,274,128.4,-19.5,0,0.0,,
185,,,No,FALSE,Jason Sanders,K,MIA,12,,185,147.7,232,256.5,-47,363,272.8,-125.1,0,0.0,,
186,,,No,FALSE,Tyler Bass,K,BUF,7,Q: Aug 17,186,150.4,227,240.5,-41,341,160.5,-10.1,0,0.0,,
187,,,No,FALSE,Jake Elliott,K,PHI,9,,187,141.5,231,254.5,-44,334,161.2,-19.7,0,0.0,,
